CSID,CaseMasterID,csdate,cstype,PolicePersonID
58,120,2025-01-13 00:00:00,A,354
59,122,2024-10-29 00:00:00,A,12
60,123,2023-10-26 00:00:00,A,479
61,125,2025-11-16 00:00:00,B,479
62,127,2025-04-14 00:00:00,C,55
63,128,2025-09-25 00:00:00,C,274
64,129,2026-04-05 00:00:00,A,382
65,130,2023-08-13 00:00:00,A,47
66,131,2026-04-21 00:00:00,C,202
67,132,2026-02-02 00:00:00,B,57
68,133,2026-07-09 00:00:00,B,448
69,134,2025-12-20 00:00:00,A,150
70,135,2024-05-07 00:00:00,A,97
71,136,2026-07-10 00:00:00,A,58
72,137,2026-01-28 00:00:00,A,167
73,140,2023-05-30 00:00:00,A,396
74,142,2023-11-05 00:00:00,A,396
75,143,2024-04-24 00:00:00,C,98
76,144,2024-01-31 00:00:00,A,175
77,145,2024-01-07 00:00:00,A,282
78,147,2024-07-07 00:00:00,C,263
79,152,2024-08-15 00:00:00,A,338
80,157,2024-12-08 00:00:00,B,49
81,159,2023-07-10 00:00:00,C,224
82,160,2024-04-07 00:00:00,C,45
83,163,2026-07-02 00:00:00,A,121
84,164,2025-04-10 00:00:00,A,170
85,165,2024-10-22 00:00:00,A,122
86,167,2024-04-11 00:00:00,A,180
87,168,2025-07-02 00:00:00,B,349
88,169,2024-12-13 00:00:00,A,190
89,172,2025-10-10 00:00:00,A,293
90,173,2025-03-25 00:00:00,A,61
91,174,2024-08-24 00:00:00,A,43
92,175,2025-11-21 00:00:00,A,4
93,182,2024-09-11 00:00:00,A,15
94,183,2023-08-02 00:00:00,A,110
95,185,2024-11-15 00:00:00,A,201
96,187,2026-03-22 00:00:00,A,160
97,190,2023-12-18 00:00:00,C,419
98,191,2025-10-21 00:00:00,C,149
99,194,2024-01-21 00:00:00,C,63
100,195,2024-04-14 00:00:00,C,55
101,197,2024-06-02 00:00:00,C,294
102,198,2026-06-22 00:00:00,A,256
103,201,2024-05-29 00:00:00,C,230
104,202,2025-04-15 00:00:00,A,59
105,205,2024-07-02 00:00:00,A,195
106,206,2025-04-08 00:00:00,A,98
107,212,2025-11-06 00:00:00,A,307
108,215,2025-11-01 00:00:00,A,2
109,216,2023-12-15 00:00:00,B,62
110,217,2023-05-07 00:00:00,A,303
111,218,2023-11-30 00:00:00,B,366
112,220,2024-07-08 00:00:00,A,324
113,221,2026-07-09 00:00:00,A,30
114,223,2023-05-04 00:00:00,C,145
115,225,2026-02-19 00:00:00,C,315
116,226,2023-07-01 00:00:00,C,295
117,227,2026-05-31 00:00:00,C,76
118,228,2023-05-18 00:00:00,A,483
119,229,2026-07-01 00:00:00,A,49
120,231,2024-09-06 00:00:00,C,64
121,234,2023-08-02 00:00:00,A,259
122,235,2023-04-15 00:00:00,A,34
123,239,2024-12-23 00:00:00,A,62
124,240,2025-03-05 00:00:00,A,477
125,243,2023-09-26 00:00:00,C,214
126,245,2023-11-10 00:00:00,A,117
127,248,2025-11-10 00:00:00,A,351
128,249,2023-11-06 00:00:00,C,334
129,251,2023-10-18 00:00:00,A,62
130,257,2023-09-11 00:00:00,B,170
131,260,2023-11-13 00:00:00,A,364
132,261,2023-08-09 00:00:00,A,342
133,263,2025-02-11 00:00:00,A,438
134,264,2025-03-04 00:00:00,A,279
135,267,2024-08-09 00:00:00,B,12
136,270,2024-01-14 00:00:00,A,133
137,272,2025-09-18 00:00:00,A,43
138,273,2026-07-01 00:00:00,A,42
139,275,2025-04-13 00:00:00,C,55
140,276,2024-08-27 00:00:00,A,432
141,280,2024-11-11 00:00:00,A,409
142,282,2025-05-06 00:00:00,A,159
143,287,2024-07-31 00:00:00,A,204
144,290,2024-07-12 00:00:00,A,420
145,291,2025-11-08 00:00:00,B,337
146,292,2026-04-02 00:00:00,C,12
147,293,2025-08-15 00:00:00,A,194
148,294,2023-04-22 00:00:00,A,234
149,295,2024-05-01 00:00:00,A,325
150,297,2026-06-03 00:00:00,A,59
151,298,2024-08-07 00:00:00,A,103
152,300,2025-09-11 00:00:00,A,20
153,301,2024-05-16 00:00:00,A,55
154,302,2023-05-06 00:00:00,A,156
155,306,2024-01-13 00:00:00,A,285
156,307,2023-07-25 00:00:00,C,217
157,308,2024-03-13 00:00:00,C,449
158,310,2025-11-09 00:00:00,A,23
159,311,2023-08-21 00:00:00,A,408
160,312,2026-02-07 00:00:00,A,28
161,313,2026-02-10 00:00:00,A,73
162,315,2024-11-28 00:00:00,C,338
163,322,2025-06-22 00:00:00,A,305
164,323,2024-02-12 00:00:00,C,294
165,324,2026-04-22 00:00:00,A,27
166,327,2024-12-16 00:00:00,A,435
167,333,2025-11-22 00:00:00,A,161
168,335,2023-07-21 00:00:00,B,243
169,336,2025-08-09 00:00:00,B,39
170,340,2025-01-09 00:00:00,C,128
171,342,2026-03-18 00:00:00,C,104
172,343,2023-06-29 00:00:00,C,404
173,346,2024-02-27 00:00:00,A,28
174,348,2024-05-31 00:00:00,A,405
175,349,2026-03-24 00:00:00,B,251
176,350,2026-03-29 00:00:00,A,410
177,351,2026-03-21 00:00:00,C,340
178,352,2024-03-31 00:00:00,C,168
179,355,2024-07-15 00:00:00,A,322
180,356,2024-06-26 00:00:00,B,19
181,359,2026-06-02 00:00:00,A,134
182,361,2026-01-05 00:00:00,A,199
183,363,2024-06-14 00:00:00,A,367
184,364,2024-11-16 00:00:00,A,110
185,366,2023-08-29 00:00:00,A,203
186,367,2024-11-21 00:00:00,A,302
187,368,2025-06-21 00:00:00,B,71
188,370,2025-03-01 00:00:00,A,482
189,371,2025-10-20 00:00:00,A,218
190,372,2024-05-13 00:00:00,C,473
191,374,2024-04-29 00:00:00,A,97
192,375,2023-07-06 00:00:00,C,274
193,377,2026-06-20 00:00:00,C,303
194,381,2024-11-20 00:00:00,A,278
195,383,2024-03-15 00:00:00,A,220
196,385,2023-11-17 00:00:00,A,56
197,387,2026-02-27 00:00:00,A,199
198,388,2026-02-12 00:00:00,A,401
199,389,2023-05-26 00:00:00,C,472
200,390,2025-01-06 00:00:00,C,3
201,391,2025-08-19 00:00:00,A,195
202,392,2023-04-18 00:00:00,A,322
203,395,2023-09-08 00:00:00,A,347
204,396,2025-05-01 00:00:00,C,92
205,397,2024-06-07 00:00:00,A,189
206,399,2023-11-10 00:00:00,A,67
207,400,2026-05-16 00:00:00,A,60
208,401,2023-04-18 00:00:00,A,1
209,403,2025-05-09 00:00:00,C,41
210,405,2026-05-05 00:00:00,B,53
211,406,2024-10-01 00:00:00,A,320
212,408,2026-06-19 00:00:00,A,359
213,410,2024-11-19 00:00:00,A,135
214,411,2023-10-23 00:00:00,A,269
215,417,2024-05-08 00:00:00,A,245
216,420,2025-07-02 00:00:00,A,406
217,422,2025-03-08 00:00:00,C,193
218,424,2023-12-19 00:00:00,A,308
219,425,2023-11-16 00:00:00,A,431
220,426,2024-05-28 00:00:00,A,322
221,428,2024-10-21 00:00:00,A,381
222,430,2026-07-10 00:00:00,B,148
223,432,2026-02-14 00:00:00,A,324
224,433,2024-08-11 00:00:00,A,218
225,434,2025-02-15 00:00:00,A,48
226,435,2024-11-17 00:00:00,A,295
227,436,2025-11-24 00:00:00,C,356
228,437,2026-06-17 00:00:00,C,358
229,438,2026-06-25 00:00:00,A,100
230,439,2023-04-16 00:00:00,A,55
231,442,2024-05-04 00:00:00,C,48
232,444,2026-01-30 00:00:00,A,322
233,446,2023-11-17 00:00:00,A,168
234,448,2024-01-21 00:00:00,A,29
235,449,2026-01-01 00:00:00,C,6
236,450,2025-12-26 00:00:00,A,298
