ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
39,62,1,2025-02-06,1,1,6,39,15,90,1,0
40,63,1,2023-03-07,1,13,28,230,5,92,1,0
41,69,2,2023-05-24,1,23,40,380,17,101,1,0
42,73,1,2024-09-16,1,1,6,45,1,105,1,0
43,74,2,2026-03-23,1,27,44,430,14,106,1,0
44,76,1,2025-02-26,1,1,5,24,19,109,1,0
45,78,1,2026-02-04,1,1,8,18,9,110,1,0
46,83,1,2025-03-01,1,19,35,317,,115,1,0
47,84,1,2026-05-08,1,12,27,217,,117,1,0
48,85,1,2024-09-09,1,21,37,354,16,119,1,0
49,86,1,2024-03-05,1,7,21,151,,121,1,0
50,86,2,2024-03-11,1,7,21,157,6,120,1,0
51,87,1,2025-08-10,1,1,9,60,10,123,1,0
52,88,1,2025-09-07,1,1,9,46,6,124,1,0
53,90,1,2026-05-15,1,1,12,22,,127,1,0
54,91,1,2024-06-03,1,25,42,413,10,128,1,0
55,92,1,2024-12-25,1,1,6,33,15,130,1,0
56,93,1,2025-05-19,1,1,4,60,17,131,1,0
57,95,1,2025-04-11,1,21,37,356,12,132,1,0
58,97,1,2023-12-05,1,23,40,387,9,137,1,0
59,100,1,2026-01-27,1,21,37,363,2,140,1,0
60,101,2,2026-07-09,1,18,34,312,8,141,1,0
61,104,1,2025-11-12,1,30,47,470,14,145,1,0
62,105,1,2024-06-18,1,23,40,384,13,147,1,0
63,114,1,2025-05-13,1,13,28,230,19,157,1,0
64,115,1,2025-11-02,1,1,10,43,17,161,1,0
65,115,1,2025-10-14,1,1,10,48,12,160,1,0
66,116,1,2025-02-16,1,15,30,283,3,163,1,0
67,117,1,2024-09-06,1,1,10,38,1,164,1,0
68,118,2,2025-09-05,1,27,44,427,6,165,1,0
69,120,1,2024-11-05,1,21,38,346,20,167,1,0
70,123,1,2023-08-19,1,31,48,475,12,171,1,0
71,125,1,2025-07-10,1,31,48,475,10,173,1,0
72,126,1,2023-04-26,1,24,41,398,16,178,1,0
73,129,1,2025-11-10,1,23,40,382,14,180,1,0
74,130,1,2023-06-23,1,1,8,36,17,181,1,0
75,132,1,2025-11-07,1,1,1,15,19,183,1,0
76,134,1,2025-09-28,1,7,21,149,15,185,1,0
77,135,2,2024-04-08,1,3,17,104,11,186,1,0
78,136,1,2026-07-03,1,1,10,11,13,187,1,0
79,137,1,2025-12-13,1,8,22,165,,188,1,0
80,140,1,2023-03-31,1,24,41,401,4,191,1,0
81,142,2,2023-08-05,1,24,41,401,,194,1,0
82,144,2,2023-11-29,1,9,23,174,18,199,1,0
83,145,2,2023-09-12,1,15,31,278,10,200,1,0
84,146,1,2025-01-17,1,1,2,28,,201,1,0
85,151,1,2023-06-10,1,2,15,62,,205,1,1
86,152,1,2024-07-08,1,20,36,326,12,207,1,0
87,161,1,2025-12-04,1,27,44,423,15,215,1,1
88,162,1,2025-08-20,1,1,12,58,,217,1,0
89,163,2,2026-03-10,1,4,18,112,18,218,1,0
90,164,1,2024-12-31,1,8,22,164,18,219,1,0
91,165,1,2024-06-06,1,4,18,121,10,220,1,0
92,167,1,2023-12-22,1,10,25,181,14,225,1,0
93,169,1,2024-09-28,1,10,25,180,19,229,1,0
94,172,2,2025-08-25,1,16,32,286,11,234,1,0
95,173,1,2025-01-31,1,2,15,92,11,235,1,0
96,174,1,2024-04-24,1,1,13,52,17,236,1,0
97,175,1,2025-09-07,1,1,4,34,,237,1,0
98,177,2,2023-08-15,1,2,15,84,12,241,1,1
99,177,2,2023-08-12,1,2,15,72,,242,1,0
100,179,1,2024-01-16,1,12,27,219,,245,1,0
101,180,2,2024-03-13,1,8,22,165,,247,1,0
102,182,1,2024-07-03,1,1,8,4,2,250,1,0
103,183,1,2023-07-08,1,4,18,122,11,251,1,0
104,184,1,2025-07-30,1,13,28,233,9,252,1,0
105,185,2,2024-09-24,1,11,26,202,11,254,1,0
106,186,1,2023-08-26,1,28,45,436,17,256,1,0
107,187,1,2026-02-08,1,8,22,169,,257,1,0
108,194,1,2023-08-22,1,2,15,89,20,264,1,0
109,198,1,2026-05-30,1,15,30,259,5,268,1,1
110,200,1,2026-07-09,1,12,27,222,6,273,1,0
111,202,1,2024-12-18,1,1,6,17,19,275,1,0
112,205,1,2024-05-18,1,10,24,189,7,281,1,0
113,206,1,2025-01-06,1,3,17,105,8,282,1,0
114,211,2,2026-03-06,1,2,15,81,17,289,1,0
115,212,1,2025-08-29,1,18,34,308,1,291,1,0
116,217,1,2023-02-12,1,17,33,299,7,295,1,0
117,219,1,2026-04-23,1,29,46,451,5,297,1,0
118,220,1,2024-02-15,1,19,35,318,14,298,1,0
119,227,1,2026-05-17,1,2,16,71,14,310,1,0
120,228,1,2023-03-12,1,31,48,480,15,311,1,0
121,229,1,2026-04-30,1,1,7,3,18,313,1,0
122,233,1,2026-06-02,1,2,16,68,,320,1,0
123,234,1,2023-04-16,1,15,31,280,9,322,1,0
124,236,2,2024-06-17,1,31,48,479,16,325,1,0
125,237,2,2024-05-30,1,1,2,42,10,327,1,0
126,238,1,2025-02-23,1,1,8,59,1,328,1,0
127,239,1,2024-10-21,1,2,15,61,4,329,1,0
128,240,1,2024-11-24,1,31,48,474,19,330,1,0
129,241,1,2024-03-11,1,24,41,402,,331,1,0
130,242,1,2025-06-18,1,28,45,439,10,333,1,0
131,246,1,2024-07-18,1,12,27,218,3,336,1,0
132,247,2,2023-10-02,1,1,13,10,,337,1,0
133,248,1,2025-07-02,1,21,38,364,8,341,1,0
134,248,1,2025-06-13,1,21,38,352,,340,1,1
135,251,1,2023-05-28,1,2,16,64,1,346,1,0
136,259,1,2026-03-10,1,25,42,406,7,355,1,0
137,260,1,2023-10-24,1,21,38,345,16,357,1,0
138,261,1,2023-06-07,1,20,36,334,,359,1,0
139,263,2,2024-09-11,1,28,45,435,,362,1,0
140,264,1,2024-10-17,1,15,30,259,19,363,1,0
141,267,1,2024-05-19,1,1,13,39,19,368,1,0
142,268,1,2023-09-03,1,14,29,248,4,370,1,0
143,270,1,2023-11-30,1,5,19,129,,373,1,0
144,272,1,2025-06-20,1,1,8,23,20,375,1,0
145,273,1,2026-04-20,1,1,3,28,9,377,1,0
146,274,1,2024-02-16,1,1,3,32,4,378,1,0
147,276,1,2024-07-28,1,27,44,425,,388,1,0
148,276,1,2024-08-03,1,27,44,422,6,385,1,0
149,279,2,2025-03-11,1,8,22,160,3,393,1,0
150,280,1,2024-06-11,1,25,42,412,20,394,1,0
151,283,1,2023-09-13,1,19,35,324,6,397,1,0
152,284,1,2023-05-13,1,20,36,336,,398,1,0
153,285,1,2023-03-15,1,24,41,391,16,399,1,0
154,288,1,2023-09-26,1,8,22,164,2,403,1,0
155,290,1,2024-05-20,1,26,43,418,,406,1,0
156,292,1,2025-11-29,1,1,7,31,20,411,1,0
157,293,1,2025-03-02,1,10,24,199,,412,1,0
158,294,1,2023-02-06,1,14,29,245,7,413,1,0
159,295,1,2024-04-14,1,19,35,325,14,414,1,0
160,297,2,2026-04-15,1,1,1,47,14,418,1,0
161,299,2,2024-03-01,1,1,2,15,,420,1,0
162,300,1,2025-05-16,1,1,4,46,3,421,1,1
163,301,1,2024-04-05,1,1,8,46,4,424,1,0
164,302,1,2023-02-07,1,7,21,157,7,427,1,0
165,306,1,2023-11-26,1,16,32,296,2,434,1,0
166,310,1,2025-10-31,1,1,3,14,18,437,1,0
167,310,1,2025-10-21,1,1,3,25,7,439,1,0
168,311,1,2023-07-20,1,25,42,411,13,440,1,0
169,312,1,2025-11-18,1,1,5,18,1,441,1,0
170,313,1,2025-11-12,1,2,16,94,,442,1,0
171,319,1,2025-05-05,1,1,4,20,7,449,1,1
172,321,1,2023-08-23,1,27,44,429,15,452,1,0
173,322,2,2025-04-12,1,18,34,315,19,453,1,0
174,324,1,2025-12-01,1,1,12,47,17,456,1,0
175,326,1,2024-08-31,1,1,12,55,11,463,1,0
176,327,1,2024-08-25,1,28,45,440,5,464,1,0
177,333,1,2025-07-27,1,8,22,161,,471,1,0
178,335,1,2023-03-14,1,14,29,249,13,474,1,0
179,337,2,2024-12-10,1,1,6,26,12,477,1,0
180,344,1,2023-10-24,1,29,46,449,,485,1,0
181,345,1,2026-07-03,1,27,44,430,14,486,1,0
182,346,1,2023-11-11,1,1,5,48,,489,1,0
183,348,1,2024-03-24,1,25,42,413,,492,1,0
184,351,1,2026-03-03,1,20,36,331,3,496,1,0
185,353,1,2023-04-24,1,20,36,342,2,502,1,0
186,354,2,2026-01-31,1,1,8,7,3,503,1,0
187,355,1,2024-05-26,1,19,35,317,7,505,1,0
188,355,1,2024-05-21,1,19,35,323,18,504,1,0
189,357,1,2023-09-14,1,15,30,254,7,508,1,0
190,359,1,2026-01-31,1,5,19,123,,513,1,0
191,361,1,2025-11-04,1,10,24,195,,518,1,0
192,363,2,2024-02-21,1,22,39,371,2,522,1,0
193,363,1,2024-02-20,1,22,39,373,14,521,1,0
194,364,1,2024-06-12,1,4,18,122,11,526,1,0
195,366,1,2023-05-05,1,11,26,202,17,532,1,0
196,367,1,2024-07-06,1,17,33,302,,534,1,0
197,370,1,2024-10-27,1,31,48,484,9,537,1,0
198,371,1,2025-06-25,1,12,27,221,,539,1,0
199,373,1,2024-11-16,1,24,41,398,14,541,1,0
200,374,1,2023-11-21,1,3,17,98,20,542,1,0
201,380,2,2024-07-10,1,22,39,373,2,548,1,0
202,381,2,2024-08-27,1,15,31,281,,549,1,0
203,382,1,2024-02-27,1,22,39,375,,550,1,0
204,383,1,2023-11-19,1,12,27,214,1,551,1,0
205,384,2,2023-06-02,1,1,10,6,18,553,1,0
206,385,1,2023-09-21,1,1,3,10,15,554,1,0
207,387,1,2025-11-11,1,10,25,184,12,556,1,0
208,388,1,2025-12-02,1,24,41,402,,557,1,0
209,391,1,2025-06-02,1,10,24,181,4,561,1,0
210,392,1,2023-01-20,1,19,35,317,18,562,1,0
211,393,1,2023-06-12,1,15,31,254,12,563,1,0
212,394,2,2026-05-01,1,30,47,460,16,564,1,0
213,397,1,2024-01-02,1,10,24,182,14,567,1,0
214,401,2,2023-03-09,1,1,13,41,,571,1,0
215,402,1,2025-11-24,1,21,37,346,8,573,1,0
216,406,1,2024-08-22,1,19,35,325,,577,1,0
217,408,1,2026-03-02,1,21,37,354,2,579,1,0
218,411,1,2023-06-23,1,15,30,283,11,583,1,0
219,412,1,2026-01-29,1,20,36,335,1,585,1,0
220,413,1,2023-07-22,1,3,17,96,7,586,1,0
221,417,1,2024-03-27,1,14,29,242,,590,1,0
222,418,1,2026-06-29,1,31,48,477,2,594,1,0
223,419,1,2025-10-23,1,23,40,387,4,595,1,0
224,420,1,2025-04-02,1,25,42,413,4,596,1,0
225,424,2,2023-12-04,1,18,34,306,10,603,1,0
226,425,1,2023-10-17,1,27,44,429,18,604,1,0
227,426,2,2024-03-30,1,19,35,325,,606,1,0
228,428,1,2024-06-23,1,23,40,380,17,610,1,0
229,431,1,2023-07-02,1,1,12,48,12,613,1,0
230,432,1,2026-01-01,1,19,35,323,20,614,1,0
231,433,1,2024-07-13,1,12,27,220,,616,1,0
232,434,1,2024-10-15,1,1,8,30,15,617,1,0
233,435,1,2024-09-14,1,16,32,294,2,618,1,0
234,438,1,2026-03-08,1,3,17,101,8,623,1,0
235,438,1,2026-03-22,1,3,17,97,,621,1,0
236,439,1,2023-04-07,1,1,6,8,2,624,1,0
237,443,1,2026-03-21,1,3,17,96,15,630,1,0
238,444,1,2025-09-16,1,19,35,325,17,631,1,0
239,444,1,2025-09-17,1,19,35,325,16,633,1,0
240,446,1,2023-08-17,1,8,22,170,7,637,1,0
241,447,2,2024-11-16,1,15,30,266,17,638,1,0
242,448,2,2023-11-12,1,1,13,39,12,639,1,0
243,450,1,2025-10-15,1,17,33,298,10,640,1,0
