CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
86,BNS,351,1,1
86,BNS,126,1,2
87,BNS,109,1,1
88,BNSS,194,1,1
88,BNS,103,2,2
89,ITACT,66D,1,1
90,IPC,420,1,1
91,BNS,103,1,1
92,IPC,379,1,1
92,IPC,392,1,2
93,BNS,318,1,1
93,IPC,420,2,2
94,BNSS,194,1,1
95,BNS,85,1,1
95,DPACT,4,2,2
95,IPC,376,3,3
96,IPC,379,1,1
97,BNSS,194,1,1
98,BNSS,194,1,1
99,POCSO,12,1,1
99,POCSO,4,1,2
100,BNS,305,1,1
101,BNS,85,1,1
102,ITACT,66,1,1
102,ITACT,66C,1,2
103,BNSS,194,1,1
103,IPC,302,2,2
103,BNS,109,3,3
104,IPC,498A,1,1
105,IPC,420,1,1
105,BNS,318,2,2
106,IPC,379,1,1
106,BNS,309,2,2
107,IPC,379,1,1
108,IPC,307,1,1
108,BNS,109,2,2
108,BNS,115,2,3
109,BNSS,194,1,1
110,POCSO,4,1,1
110,POCSO,8,1,2
111,BNSS,194,1,1
112,DPACT,3,1,1
112,BNS,85,2,2
113,BNS,117,1,1
114,POCSO,4,1,1
115,BNS,351,1,1
116,BNS,85,1,1
117,BNS,316,1,1
117,IPC,420,2,2
118,NDPS,22,1,1
119,BNSS,194,1,1
120,POCSO,4,1,1
121,NDPS,22,1,1
122,BNS,103,1,1
122,IPC,302,2,2
123,IPC,498A,1,1
123,BNS,85,2,2
123,IPC,304B,1,3
124,IPC,498A,1,1
124,BNS,74,2,2
124,IPC,304B,1,3
125,BNS,351,1,1
125,BNS,126,1,2
126,ITACT,66D,1,1
127,BNSS,194,1,1
128,IPC,307,1,1
129,IPC,420,1,1
129,BNS,316,2,2
130,BNS,305,1,1
130,BNS,316,1,2
131,ITACT,66D,1,1
131,ITACT,66C,1,2
131,ITACT,66,1,3
132,IPC,498A,1,1
132,IPC,304B,1,2
132,BNS,85,2,3
133,ITACT,66C,1,1
133,ITACT,66,1,2
133,ITACT,66D,1,3
134,ARMS,27,1,1
134,NDPS,21,2,2
135,BNS,305,1,1
136,POCSO,8,1,1
136,POCSO,12,1,2
137,BNS,310,1,1
137,IPC,392,2,2
138,POCSO,12,1,1
138,POCSO,8,1,2
138,POCSO,4,1,3
139,BNSS,194,1,1
140,IPC,420,1,1
141,BNSS,194,1,1
142,BNS,318,1,1
143,BNS,103,1,1
143,IPC,307,2,2
144,BNS,351,1,1
144,BNS,126,1,2
145,ARMS,27,1,1
145,NDPS,20,2,2
145,ARMS,25,1,3
146,BNS,303,1,1
146,IPC,379,2,2
146,BNS,310,1,3
147,BNSS,194,1,1
148,BNSS,194,1,1
149,IPC,498A,1,1
150,BNS,63,1,1
150,BNS,80,1,2
150,BNS,74,1,3
151,BNS,305,1,1
151,IPC,392,2,2
152,BNS,117,1,1
152,BNS,103,1,2
153,BNS,318,1,1
153,BNS,316,1,2
154,BNSS,194,1,1
155,BNS,316,1,1
155,BNS,318,1,2
156,IPC,302,1,1
156,BNS,117,2,2
157,IPC,379,1,1
157,BNS,303,2,2
158,BNSS,194,1,1
159,BNSS,194,1,1
160,BNS,310,1,1
161,ITACT,66C,1,1
162,POCSO,12,1,1
163,POCSO,4,1,1
163,POCSO,12,1,2
164,BNS,74,1,1
165,BNS,109,1,1
166,BNS,126,1,1
166,BNS,351,1,2
167,BNS,126,1,1
167,BNS,351,1,2
168,DPACT,3,1,1
169,DPACT,4,1,1
169,BNS,80,2,2
170,BNS,115,1,1
170,IPC,307,2,2
171,IPC,420,1,1
171,BNS,318,2,2
172,ITACT,66C,1,1
173,ITACT,66,1,1
174,IPC,498A,1,1
174,IPC,354,1,2
175,ITACT,66,1,1
175,ITACT,66D,1,2
176,IPC,379,1,1
177,BNS,351,1,1
177,BNS,126,1,2
178,BNS,316,1,1
179,POCSO,8,1,1
179,POCSO,4,1,2
180,ITACT,66,1,1
180,ITACT,66D,1,2
181,BNS,109,1,1
181,BNS,103,1,2
182,IPC,379,1,1
182,BNS,303,2,2
183,ARMS,25,1,1
183,NDPS,20,2,2
184,BNS,316,1,1
185,NDPS,21,1,1
186,ITACT,66D,1,1
187,BNS,74,1,1
188,ITACT,66C,1,1
188,ITACT,66,1,2
189,IPC,307,1,1
190,ITACT,66D,1,1
191,BNSS,194,1,1
192,ITACT,66D,1,1
192,ITACT,66,1,2
193,BNS,316,1,1
194,BNS,303,1,1
194,IPC,379,2,2
195,IPC,307,1,1
195,BNSS,194,2,2
196,BNS,115,1,1
196,BNS,117,1,2
197,IPC,307,1,1
197,BNS,109,2,2
198,BNS,85,1,1
199,BNS,316,1,1
200,DPACT,4,1,1
201,BNSS,194,1,1
202,BNS,126,1,1
202,BNS,351,1,2
203,BNS,115,1,1
204,BNS,63,1,1
204,IPC,354,2,2
205,DPACT,3,1,1
205,BNS,74,2,2
206,BNS,316,1,1
206,IPC,420,2,2
206,BNS,318,1,3
207,IPC,379,1,1
207,BNS,303,2,2
208,BNS,318,1,1
209,ARMS,27,1,1
210,ITACT,66C,1,1
211,BNS,126,1,1
212,IPC,420,1,1
212,BNS,316,2,2
213,BNSS,194,1,1
214,NDPS,21,1,1
214,ARMS,27,2,2
214,ARMS,25,2,3
215,ITACT,66D,1,1
215,ITACT,66C,1,2
216,ARMS,27,1,1
217,ITACT,66C,1,1
218,BNS,103,1,1
218,IPC,307,2,2
219,IPC,354,1,1
220,IPC,379,1,1
220,BNS,303,2,2
221,BNS,318,1,1
222,BNS,126,1,1
223,POCSO,8,1,1
223,POCSO,4,1,2
224,BNS,303,1,1
225,NDPS,22,1,1
225,ARMS,27,2,2
225,NDPS,21,1,3
226,BNSS,194,1,1
227,DPACT,4,1,1
227,BNS,80,2,2
227,IPC,498A,3,3
228,POCSO,12,1,1
228,POCSO,8,1,2
228,POCSO,4,1,3
229,IPC,392,1,1
229,BNS,305,2,2
230,IPC,392,1,1
230,BNS,303,2,2
231,DPACT,3,1,1
231,IPC,498A,2,2
232,BNS,103,1,1
232,BNS,109,1,2
233,BNS,351,1,1
234,BNSS,194,1,1
234,IPC,307,2,2
234,BNS,117,3,3
235,IPC,420,1,1
235,BNS,318,2,2
236,BNS,305,1,1
236,IPC,379,2,2
237,POCSO,12,1,1
238,NDPS,22,1,1
239,IPC,302,1,1
239,BNS,103,2,2
239,BNS,115,2,3
240,DPACT,3,1,1
241,ITACT,66D,1,1
242,BNS,351,1,1
242,BNS,126,1,2
243,ITACT,66,1,1
244,BNSS,194,1,1
245,NDPS,20,1,1
245,NDPS,22,1,2
246,POCSO,4,1,1
247,BNS,303,1,1
248,BNS,309,1,1
248,BNS,316,1,2
249,NDPS,20,1,1
250,IPC,498A,1,1
250,BNS,80,2,2
250,DPACT,3,3,3
251,BNS,63,1,1
251,DPACT,3,2,2
251,BNS,80,1,3
252,BNSS,194,1,1
253,BNS,351,1,1
254,BNSS,194,1,1
255,IPC,379,1,1
256,BNS,117,1,1
257,BNS,74,1,1
257,BNS,80,1,2
257,IPC,376,2,3
258,BNS,109,1,1
259,BNS,103,1,1
260,BNS,126,1,1
261,BNS,109,1,1
261,BNS,103,1,2
261,BNS,117,1,3
262,BNS,316,1,1
263,IPC,379,1,1
264,BNS,103,1,1
264,BNSS,194,2,2
265,BNSS,194,1,1
266,BNS,316,1,1
267,BNS,117,1,1
267,BNS,103,1,2
268,BNS,109,1,1
268,BNS,115,1,2
269,IPC,379,1,1
269,BNS,303,2,2
270,BNS,316,1,1
271,IPC,379,1,1
272,ITACT,66D,1,1
272,ITACT,66,1,2
272,ITACT,66C,1,3
273,BNS,109,1,1
274,IPC,392,1,1
274,IPC,379,1,2
275,BNS,351,1,1
275,BNS,126,1,2
276,BNS,126,1,1
276,BNS,351,1,2
277,BNS,103,1,1
278,BNSS,194,1,1
279,POCSO,12,1,1
280,ITACT,66C,1,1
281,BNSS,194,1,1
282,IPC,420,1,1
282,BNS,318,2,2
283,BNS,316,1,1
284,ITACT,66D,1,1
284,ITACT,66,1,2
285,IPC,307,1,1
286,IPC,376,1,1
287,POCSO,4,1,1
288,BNS,80,1,1
289,BNS,85,1,1
290,BNS,351,1,1
291,BNS,351,1,1
292,BNS,80,1,1
292,IPC,354,2,2
292,BNS,85,1,3
293,ITACT,66D,1,1
293,ITACT,66,1,2
294,IPC,354,1,1
294,IPC,304B,1,2
295,IPC,379,1,1
296,ITACT,66,1,1
297,IPC,420,1,1
298,BNS,316,1,1
299,ITACT,66C,1,1
300,BNS,103,1,1
301,IPC,302,1,1
301,BNSS,194,2,2
302,BNS,305,1,1
302,IPC,392,2,2
303,DPACT,3,1,1
303,IPC,304B,2,2
304,BNSS,194,1,1
305,BNS,310,1,1
306,DPACT,3,1,1
307,BNSS,194,1,1
308,BNSS,194,1,1
309,BNS,109,1,1
309,IPC,307,2,2
310,IPC,392,1,1
311,BNS,103,1,1
311,BNS,115,1,2
311,IPC,302,2,3
312,POCSO,8,1,1
312,POCSO,4,1,2
313,BNS,109,1,1
314,POCSO,4,1,1
314,POCSO,8,1,2
315,BNS,103,1,1
316,NDPS,21,1,1
316,ARMS,25,2,2
317,BNS,115,1,1
318,ARMS,27,1,1
319,BNS,318,1,1
319,BNS,316,1,2
320,DPACT,4,1,1
321,IPC,304B,1,1
322,BNS,115,1,1
323,BNS,303,1,1
323,BNS,309,1,2
324,BNSS,194,1,1
324,BNS,109,2,2
325,BNS,351,1,1
326,BNS,309,1,1
327,POCSO,12,1,1
328,BNSS,194,1,1
329,IPC,498A,1,1
329,DPACT,4,2,2
330,POCSO,4,1,1
331,ITACT,66C,1,1
332,ITACT,66D,1,1
333,IPC,302,1,1
333,IPC,307,1,2
334,BNS,303,1,1
334,BNS,309,1,2
335,BNS,305,1,1
335,BNS,303,1,2
336,BNS,305,1,1
336,BNS,310,1,2
336,BNS,309,1,3
337,IPC,420,1,1
338,BNSS,194,1,1
339,NDPS,22,1,1
339,ARMS,27,2,2
340,ITACT,66D,1,1
340,ITACT,66C,1,2
341,ARMS,25,1,1
342,POCSO,8,1,1
342,POCSO,4,1,2
342,POCSO,12,1,3
343,IPC,498A,1,1
344,ITACT,66C,1,1
345,BNS,117,1,1
345,IPC,307,2,2
345,BNSS,194,3,3
346,BNS,303,1,1
346,IPC,379,2,2
347,BNS,85,1,1
347,BNS,63,1,2
347,IPC,304B,2,3
348,BNS,318,1,1
349,NDPS,21,1,1
349,NDPS,22,1,2
350,IPC,379,1,1
351,BNS,351,1,1
351,BNS,126,1,2
352,BNS,310,1,1
352,BNS,305,1,2
353,BNS,117,1,1
353,BNSS,194,2,2
354,ITACT,66,1,1
355,BNS,351,1,1
355,BNS,126,1,2
356,BNS,318,1,1
357,ITACT,66C,1,1
358,BNS,305,1,1
358,IPC,379,2,2
359,BNS,316,1,1
360,BNSS,194,1,1
360,IPC,307,2,2
361,NDPS,22,1,1
361,NDPS,20,1,2
362,BNSS,194,1,1
363,BNS,126,1,1
363,BNS,351,1,2
364,BNS,316,1,1
365,BNS,351,1,1
366,BNS,305,1,1
367,ITACT,66C,1,1
367,ITACT,66,1,2
368,ITACT,66C,1,1
369,IPC,307,1,1
370,BNS,80,1,1
370,BNS,85,1,2
371,ITACT,66,1,1
372,BNSS,194,1,1
373,IPC,302,1,1
373,IPC,307,1,2
374,ITACT,66,1,1
374,ITACT,66C,1,2
375,BNSS,194,1,1
376,IPC,304B,1,1
376,BNS,74,2,2
377,BNSS,194,1,1
378,ITACT,66D,1,1
378,ITACT,66C,1,2
379,BNS,316,1,1
380,BNS,80,1,1
381,BNS,318,1,1
382,IPC,376,1,1
383,BNS,309,1,1
384,IPC,392,1,1
385,BNS,74,1,1
385,BNS,63,1,2
386,BNS,309,1,1
386,BNS,310,1,2
387,ITACT,66C,1,1
387,ITACT,66D,1,2
388,NDPS,21,1,1
388,NDPS,22,1,2
388,NDPS,20,1,3
389,ITACT,66D,1,1
389,ITACT,66C,1,2
390,IPC,379,1,1
391,POCSO,12,1,1
392,BNS,103,1,1
393,BNS,316,1,1
393,IPC,392,2,2
394,NDPS,21,1,1
395,NDPS,21,1,1
395,NDPS,22,1,2
396,NDPS,20,1,1
397,BNS,309,1,1
398,IPC,304B,1,1
398,DPACT,4,2,2
399,BNS,318,1,1
400,BNS,103,1,1
400,BNS,115,1,2
401,IPC,302,1,1
401,BNS,115,2,2
402,ITACT,66D,1,1
403,BNS,109,1,1
403,BNSS,194,2,2
403,IPC,302,3,3
404,IPC,420,1,1
404,BNS,316,2,2
404,BNS,318,2,3
405,IPC,304B,1,1
406,BNS,63,1,1
407,BNS,103,1,1
408,BNS,309,1,1
408,BNS,316,1,2
409,BNS,309,1,1
409,BNS,305,1,2
409,BNS,303,1,3
410,IPC,304B,1,1
411,BNS,318,1,1
412,BNS,316,1,1
412,BNS,309,1,2
412,IPC,392,2,3
413,BNS,318,1,1
413,BNS,316,1,2
414,BNSS,194,1,1
415,ARMS,25,1,1
415,NDPS,20,2,2
416,BNS,109,1,1
416,BNS,117,1,2
416,IPC,302,2,3
417,IPC,379,1,1
417,BNS,316,2,2
417,BNS,303,2,3
418,BNS,309,1,1
419,IPC,354,1,1
420,BNS,63,1,1
421,BNS,318,1,1
422,BNS,126,1,1
422,BNS,351,1,2
423,ITACT,66,1,1
423,ITACT,66C,1,2
424,ITACT,66D,1,1
425,ITACT,66,1,1
425,ITACT,66D,1,2
425,ITACT,66C,1,3
426,ITACT,66C,1,1
426,ITACT,66D,1,2
427,IPC,379,1,1
428,BNS,316,1,1
428,IPC,420,2,2
429,BNS,309,1,1
430,IPC,302,1,1
431,BNS,103,1,1
432,ITACT,66,1,1
433,IPC,354,1,1
434,BNS,63,1,1
434,IPC,354,2,2
435,BNS,316,1,1
436,BNS,310,1,1
436,BNS,316,1,2
437,BNS,115,1,1
437,BNSS,194,2,2
438,BNS,351,1,1
439,BNS,316,1,1
439,BNS,305,1,2
440,ARMS,25,1,1
440,NDPS,21,2,2
441,IPC,376,1,1
442,ITACT,66,1,1
443,ITACT,66D,1,1
444,IPC,392,1,1
444,BNS,316,2,2
444,IPC,379,1,3
445,IPC,379,1,1
446,IPC,420,1,1
447,BNS,316,1,1
447,BNS,309,1,2
448,IPC,420,1,1
448,BNS,318,2,2
449,BNSS,194,1,1
450,BNS,310,1,1
